Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
Reilly Tar & Chemical Corp. (St. Louis Park Plant),0.0,Minnesota,Hennepin,NPL Site,44.941669,-93.372219,27053
South Andover Site,35.41,Minnesota,Anoka,NPL Site,45.2179,-93.318,27003
Arrowhead Refinery Co.,43.75,Minnesota,St Louis,NPL Site,46.8377,-92.2398,27137
General Mills/Henkel Corp.,36.28,Minnesota,Hennepin,NPL Site,44.99,-93.222781,27053
Joslyn Manufacturing & Supply Co.,44.3,Minnesota,Hennepin,NPL Site,45.045,-93.333339,27053
MacGillis & Gibbs/Bell Lumber & Pole Co.,48.33,Minnesota,Ramsey,NPL Site,45.055,-93.194731,27123
Perham Arsenic Site,37.98,Minnesota,Otter Tail,NPL Site,46.587781,-95.571661,27111
St. Regis Paper Co.,52.88,Minnesota,Cass,NPL Site,47.375561,-94.60555,27021
St. Louis River Site,32.08,Minnesota,St Louis,NPL Site,46.677781,-92.212219,27137
Kurt Manufacturing Co.,31.41,Minnesota,Anoka,NPL Site,45.064411,-93.268361,27003
Long Prairie Ground Water Contamination,31.94,Minnesota,Todd,NPL Site,45.978531,-94.856639,27153
Naval Industrial Reserve Ordnance Plant,30.83,Minnesota,Anoka,NPL Site,45.058831,-93.273669,27003
Freeway Sanitary Landfill,45.91,Minnesota,Dakota,NPL Site,44.795,-93.293331,27037
Waite Park Wells,31.94,Minnesota,Stearns,NPL Site,45.561669,-94.215,27145
Ritari Post & Pole,29.81,Minnesota,Wadena,NPL Site,46.6608,-95.0298,27159
Baytown Township Ground Water Plume,35.62,Minnesota,Washington,NPL Site,45.0,-92.833333,27163
Fridley Commons Park Well Field,50.0,Minnesota,Anoka,NPL Site,45.080556,-93.255556,27003
South Minneapolis Residential Soil Contamination,44.58,Minnesota,Hennepin,NPL Site,44.9528,-93.2427,27053
Spring Park Municipal Well Field,50.0,Minnesota,Hennepin,NPL Site,44.935944,-93.633306,27053
Minker/Stout/Romaine Creek,36.78,Missouri,Jefferson,NPL Site,38.44,-90.48,29099
Ellisville Site,0.0,Missouri,St Louis,NPL Site,38.603331,-90.618331,29189
Fulbright Landfill,40.6,Missouri,Greene,NPL Site,37.273056,-93.3125,29077
Syntex Facility,43.78,Missouri,Lawrence,NPL Site,36.965,-93.798331,29109
Lee Chemical,46.81,Missouri,Clay,NPL Site,39.201111,-94.3925,29047
"Solid State Circuits, Inc.",37.93,Missouri,Greene,NPL Site,37.118061,-93.480281,29077
Bee Cee Manufacturing Co.,28.59,Missouri,Dunklin,NPL Site,36.603331,-89.98,29069
Quality Plating,40.7,Missouri,Scott,NPL Site,36.96305,-89.55721899999998,29201
Weldon Spring Former Army Ordnance Works,30.26,Missouri,St Charles,NPL Site,38.696389,-90.729161,29183
Lake City Army Ammunition Plant (Northwest Lagoon),33.62,Missouri,Jackson,NPL Site,39.103,-94.2783,29095
Valley Park TCE,35.57,Missouri,St Louis,NPL Site,38.552781,-90.466669,29189
Oronogo-Duenweg Mining Belt,46.2,Missouri,Jasper,NPL Site,37.101111,-94.420561,29097
Missouri Electric Works,31.2,Missouri,Cape Girardeau,NPL Site,37.28625,-89.55505600000002,29031
Weldon Spring Quarry/Plant/Pits (USDOE/Army),58.6,Missouri,St Charles,NPL Site,38.696944,-90.724999,29183
St. Louis Airport/Hazelwood Interim Storage/Futura Coatings Co.,38.31,Missouri,St Louis,NPL Site,38.759719,-90.360419,29189
Westlake Landfill,29.85,Missouri,St Louis,NPL Site,38.77,-90.445269,29189
Big River Mine Tailings/St. Joe Minerals Corp.,84.91,Missouri,St Francois,NPL Site,37.886389,-90.55,29187
Newton County Wells,50.0,Missouri,Newton,NPL Site,37.044722,-94.473056,29145
Pools Prairie,50.0,Missouri,Newton,NPL Site,36.803056,-94.390278,29145
Armour Road,50.0,Missouri,Clay,NPL Site,39.145,-94.556111,29047
Riverfront,50.0,Missouri,Franklin,NPL Site,38.613889,-91.214722,29071
"Trans Circuits, Inc.",50.0,Florida,Palm Beach,NPL Site,26.795278000000003,-80.07388900000002,12099
Kane & Lombard Street Drums,30.15,Maryland,Baltimore,NPL Site,39.2956,-76.5419,24005
Landia Chemical Company,50.0,Florida,Polk,NPL Site,28.039444,-81.979167,12105
Alaric Area Ground Water Plume,41.91,Florida,Hillsborough,NPL Site,27.964083,-82.375139,12057
Aberdeen Proving Ground (Michaelsville Landfill),31.09,Maryland,Baltimore,NPL Site,39.4606,-76.1414,24005
Aberdeen Proving Ground (Edgewood Area),53.57,Maryland,Baltimore,NPL Site,39.395404,-76.30773,24005
Woodlawn County Landfill,48.13,Maryland,Cecil,NPL Site,39.641669,-76.09,24015
Bush Valley Landfill,40.3,Maryland,Harford,NPL Site,39.467219,-76.26195,24025
"Spectron, Inc.",51.42,Maryland,Cecil,NPL Site,39.691249,-75.877778,24015
"Ordnance Products, Inc.",32.15,Maryland,Cecil,NPL Site,39.630833,-75.923889,24015
H.O.D. Landfill,34.68,Illinois,Lake,NPL Site,42.4753,-88.0819,17097
Indian Head Naval Surface Warfare Center,50.0,Maryland,Charles,NPL Site,38.591389,-77.174306,24017
Central Chemical (Hagerstown),50.0,Maryland,Washington,NPL Site,39.656667,-77.723611,24043
Fort George G. Meade,51.44,Maryland,Anne Arundel,NPL Site,39.083333,-76.715278,24003
Curtis Bay Coast Guard Yard,50.0,Maryland,Anne Arundel,NPL Site,39.2,-76.572694,24003
Fort Detrick Area B Ground Water,49.52,Maryland,Frederick,NPL Site,39.434442,-77.44676899999997,24021
Dwyer Property Ground Water Plume,50.0,Maryland,Cecil,NPL Site,39.612007,-75.844474,24015
Sauer Dump,50.0,Maryland,Baltimore,NPL Site,39.270267,-76.45271,24005
McKin Co.,60.97,Maine,Cumberland,NPL Site,43.8841,-70.2942,23005
Saco Municipal Landfill,29.49,Maine,York,NPL Site,43.5302,-70.4815,23031
