name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Demoss Petrie,32.2523,-110.9921,Gas,Arizona,Pima,4019
Desert Basin,32.9042,-111.7889,Gas,Arizona,Pinal,4021
Desert Star Energy Center,35.7889,-114.9942,Gas,Nevada,Clark,32003
Dicks Creek,39.465,-84.3778,Gas,Ohio,Butler,39017
Dighton Power Plant,41.8312,-71.1239,Gas,Massachusetts,Bristol,25005
Dogwood Energy Facility,38.7931,-94.3006,Gas,Missouri,Cass,29037
Dome Project,35.2208,-119.5831,Gas,California,Kern,6029
Domino Sugar Arabi Plant,29.9468,-90.0018,Gas,Louisiana,St Bernard,22087
Domino Sugar Baltimore,39.2744,-76.5956,Gas,Maryland,Baltimore,24005
Don Henry,40.5832,-98.4201,Gas,Nebraska,Adams,31001
