State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Indiana,18029,476.5,451.7,502.3,295,stable,-1.6,-11.7,9.7,Dearborn,IN,0.004765
Tennessee,47147,476.5,454.3,499.5,365,stable,-1.2,-5.3,3.0,Robertson,TN,0.004765
Illinois,17073,476.5,452.8,501.1,326,stable,1.7,-0.4,3.7,Henry,IL,0.004765
Georgia,13063,476.5,462.6,490.6,1044,stable,0.2,0.0,0.5,Clayton,GA,0.004765
Ohio,39023,476.4,461.7,491.6,845,stable,0.6,-1.0,2.3,Clark,OH,0.004764
Missouri,29227,476.4,367.0,612.1,15,stable,7.3,-25.3,54.0,Worth,MO,0.004764
Florida,12033,476.4,466.2,486.8,1748,stable,-0.3,-2.0,1.4,Escambia,FL,0.004764
Maryland,24043,476.4,462.1,491.1,868,stable,0.1,-5.3,5.7,Washington,MD,0.004764
Tennessee,47029,476.4,448.2,506.1,233,stable,0.1,-7.7,8.6,Cocke,TN,0.004764
Wisconsin,55083,476.4,449.2,505.0,248,stable,-2.2,-8.7,4.7,Oconto,WI,0.004764
Ohio,39089,476.3,462.7,490.3,970,stable,3.1,-3.6,10.3,Licking,OH,0.004763
Ohio,39035,476.3,471.4,481.2,7678,stable,-0.8,-2.3,0.7,Cuyahoga,OH,0.004763
Washington,53029,476.2,457.6,495.4,569,falling,-1.3,-2.0,-0.6,Island,WA,0.004762
Iowa,19141,476.2,432.1,524.0,97,stable,-0.2,-0.8,0.4,O Brien,IA,0.004762
Louisiana,22023,476.2,409.2,551.5,39,stable,-1.4,-2.8,0.0,Cameron,LA,0.004762
Iowa,19071,476.2,416.2,543.3,52,stable,-0.4,-1.1,0.4,Fremont,IA,0.004762
Virginia,51149,476.1,445.5,508.3,191,stable,-3.6,-14.7,8.9,Prince George,VA,0.0047610000000000005
Ohio,39047,476.1,444.1,509.8,173,stable,4.9,-0.6,10.7,Fayette,OH,0.0047610000000000005
North Carolina,37023,476.0,458.2,494.3,574,stable,-1.9,-10.0,7.0,Burke,NC,0.00476
Illinois,17201,475.9,465.5,486.5,1668,stable,-0.5,-2.7,1.8,Winnebago,IL,0.004758999999999999
Kentucky,21015,475.9,458.5,493.8,603,falling,-0.5,-0.9,-0.1,Boone,KY,0.004758999999999999
Missouri,29073,475.9,433.9,521.2,106,stable,-1.4,-12.6,11.3,Gasconade,MO,0.004758999999999999
Missouri,29510,475.7,464.9,486.6,1572,stable,-2.8,-6.1,0.6,St Louis City,MO,0.004757
Massachusetts,25023,475.6,467.9,483.5,3047,falling,-2.5,-3.6,-1.4,Plymouth,MA,0.004756
Maine,23013,475.6,450.2,502.3,296,stable,3.1,-1.1,7.4,Knox,ME,0.004756
Iowa,19055,475.6,434.9,519.4,109,stable,0.4,-0.2,0.9,Delaware,IA,0.004756
